Timestamp,Accelerometer X,Accelerometer Y,Accelerometer Z
14/04/2020 12:51:15.467,-1.113,0.426,0.160
14/04/2020 12:51:15.500,-1.027,0.395,0.184
14/04/2020 12:51:15.534,-0.879,0.320,0.191
14/04/2020 12:51:15.567,-0.828,0.320,0.184
14/04/2020 12:51:15.600,-0.809,0.336,0.168
14/04/2020 12:51:15.634,-0.797,0.320,0.164
14/04/2020 12:51:15.667,-0.762,0.316,0.211
14/04/2020 12:51:15.700,-0.707,0.371,0.219
14/04/2020 12:51:15.734,-0.695,0.383,0.203
14/04/2020 12:51:15.767,-0.660,0.395,0.215
14/04/2020 12:51:15.800,-0.656,0.422,0.219
14/04/2020 12:51:15.834,-0.707,0.449,0.219
14/04/2020 12:51:15.867,-0.867,0.500,0.184
14/04/2020 12:51:15.900,-1.211,0.609,0.219
14/04/2020 12:51:15.934,-1.203,0.617,0.266
14/04/2020 12:51:15.967,-0.926,0.500,0.250
14/04/2020 12:51:16.000,-0.820,0.398,0.172
14/04/2020 12:51:16.034,-0.973,0.383,0.141
14/04/2020 12:51:16.067,-1.039,0.418,0.141
14/04/2020 12:51:16.100,-0.969,0.371,0.133
14/04/2020 12:51:16.134,-0.844,0.324,0.113
14/04/2020 12:51:16.167,-0.824,0.355,0.090
14/04/2020 12:51:16.200,-0.852,0.375,0.051
14/04/2020 12:51:16.234,-0.840,0.383,0.035
14/04/2020 12:51:16.267,-0.828,0.387,0.043
14/04/2020 12:51:16.300,-0.824,0.414,0.051
14/04/2020 12:51:16.334,-0.891,0.414,0.051
14/04/2020 12:51:16.367,-0.906,0.398,0.047
